title,director,year,country,genre,rating,votes
剪刀手爱德华,蒂姆·波顿 Tim Burton,1990,美国,剧情 爱情 奇幻,8.7,1082133
断背山,李安 Ang Lee,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,745271
勇敢的心,梅尔·吉布森 Mel Gibson,1995,美国,动作 传记 剧情 历史 战争,8.9,583133
菊次郎的夏天,北野武 Takeshi Kitano,1999,日本,剧情 喜剧,8.9,638772
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,2010,日本,动画 奇幻 冒险,8.9,593461
未麻的部屋,今敏 Satoshi Kon,1997,日本,剧情 犯罪 动画 悬疑 惊悚,9.1,386719
哈利·波特与火焰杯,迈克·内威尔 Mike Newell,2005,英国 美国,悬疑 奇幻 冒险,8.8,735616
消失的爱人,大卫·芬奇 David Fincher,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,1020842
无人知晓,是枝裕和 Hirokazu Koreeda,2004,日本,剧情,9.1,350314
时空恋旅人,理查德·柯蒂斯 Richard Curtis,2013,英国 美国,喜剧 爱情 奇幻,8.8,734749
倩女幽魂,程小东 Siu-Tung Ching,1987,中国香港,爱情 奇幻 武侠 古装,8.8,780292
完美的世界,克林特·伊斯特伍德 Clint Eastwood,1993,美国,剧情 犯罪,9.1,339948
阳光灿烂的日子,姜文 Wen Jiang,1994,中国大陆 中国香港,剧情 爱情,8.8,655625
茶馆,谢添 Tian Xie,1982(中国大陆),中国大陆,剧情 历史,9.6,178982
小森林 夏秋篇,森淳一 Junichi Mori,2014,日本,剧情,9.0,450837
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,2001,法国 德国,剧情 喜剧 爱情,8.7,989704
侧耳倾听,近藤喜文 Yoshifumi Kondo,1995,日本,剧情 爱情 动画,8.9,495701
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,美国,动画 奇幻 冒险,8.8,806339
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,2015,美国,喜剧 动画 冒险,8.8,721457
新世界,朴勋政 Hoon-jung Park,2013,韩国,剧情 犯罪,8.9,487612
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,美国,剧情 犯罪,9.0,404376
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,美国,儿童 喜剧 动画 奇幻 冒险,8.8,724841
傲慢与偏见,乔·怀特 Joe Wright,2005,法国 英国 美国,剧情 爱情,8.7,863685
一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,2015,瑞典,剧情,8.9,525416
幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,2004,美国,喜剧 剧情 爱情,8.8,608776
玩具总动员3,李·昂克里奇 Lee Unkrich,2010,美国,喜剧 动画 奇幻 冒险,8.9,556778
小森林 冬春篇,森淳一 Junichi Mori,2015,日本,剧情,9.0,400896
色，戒,李安 Ang Lee,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,8.7,892208
被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,2012,美国,剧情 动作 西部 冒险,8.8,652042
釜山行,延尚昊 Sang-ho Yeon,2016,韩国,动作 惊悚 灾难,8.6,1277946
神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,美国 法国,喜剧 动画 冒险,8.7,1001075
萤火之森,大森贵弘 Takahiro Omori,2011,日本,剧情 爱情 动画 奇幻,8.8,577595
九品芝麻官,王晶 Jing Wong,1994,中国香港 中国大陆,剧情 喜剧 古装,8.7,740414
哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,中国大陆,冒险 动画 奇幻,9.2,279630
告白,中岛哲也 Tetsuya Nakashima,2010,日本,剧情 悬疑,8.8,708620
喜宴,李安 Ang Lee,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,9.0,397491
玛丽和马克思,亚当·艾略特 Adam Elliot,2009,澳大利亚 美国,剧情 喜剧 动画,9.0,439713
模仿游戏,莫滕·泰杜姆 Morten Tyldum,2014,英国 美国,剧情 传记 战争 同性,8.8,689243
头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,2018,美国,动作 科幻 冒险,8.6,1443037
花样年华,王家卫 Kar Wai Wong,2000,中国香港,剧情 爱情,8.8,661262
大鱼,蒂姆·波顿 Tim Burton,2003,美国,剧情 爱情 奇幻 冒险,8.8,599361
七武士,黑泽明 Akira Kurosawa,1954,日本,动作 冒险 剧情,9.3,215347
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,1993,中国香港,喜剧 奇幻 武侠 古装,8.7,680223
惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,美国,悬疑 惊悚 恐怖,9.0,327785
我是山姆,杰茜·尼尔森 Jessie Nelson,2001,美国,剧情 家庭,9.0,358622
血战钢锯岭,梅尔·吉布森 Mel Gibson,2016,澳大利亚 美国,剧情 传记 历史 战争,8.7,822235
