title,year,director,genres,country,language,rating,votes
十二怒汉 12 Angry Men,1957,西德尼·吕美特,剧情,美国,英语,9.4,536537
控方证人 Witness for the Prosecution,1982,艾伦·吉布森,剧情 / 悬疑 / 犯罪,美国 / 英国,英语,9.4,89109
横空出世,1999,陈国星,剧情 / 历史,中国大陆,汉语普通话,9.4,97514
切腹,1962,小林正树,剧情 / 动作 / 悬疑,日本,日语,9.4,50787
夏目友人帐 第六季 特别篇 梦幻的碎片 夏目友人帳 陸 特別編 夢幻のかけら,2017,大森贵弘 / 出合小都美,剧情 / 动画 / 奇幻,日本,日语,9.4,16290
夏目友人帐：曾几何时下雪之日 夏目友人帳 いつかゆきのひに,2014,大森贵弘,剧情 / 动画,日本,日语,9.4,25245
万物生灵：2021圣诞特别集 All Creatures Great and Small: Christmas Special,2021,安迪·海伊,剧情 / 喜剧,英国,英语,9.4,11328
福尔摩斯二世 Sherlock Jr.,1924,巴斯特·基顿,喜剧 / 动作 / 爱情,美国,无对白,9.4,30358
大雄的怀念奶奶 おばあちゃんの思い出,2000,渡边步,动画,日本,日语,9.4,9193
新世纪福音战士剧场版：复兴 新世紀エヴァンゲリオン劇場版 DEATH(TRUE)²/Air/まごころを、君に,1998,庵野秀明 / 摩砂雪 / 鹤卷和哉 / 大冢雅彦,剧情 / 科幻 / 动画,日本,日语,9.4,9278
排球少年剧场版：才能与感觉 劇場版 ハイキュー!! 才能とセンス,2017,满仲劝,剧情 / 动画 / 运动,日本,日语,9.4,4542
空之境界 第五章 矛盾螺旋 劇場版 空の境界 第五章 矛盾螺旋,2008,平尾隆之,动画,日本,日语,9.4,25623
巴黎圣母院 Notre Dame de Paris,1998,Gilles Maheu,剧情 / 爱情 / 音乐,法国,法语,9.4,15652
四月一日灵异事件簿·笼：徒梦 xxxHOLiC・籠 あだゆめ,2011,水岛努,动画,日本,日语,9.4,8602
极品基老伴：完结篇 Vicious Series Finale,2016,本·凯利特,喜剧 / 同性,英国,英语,9.4,24491
拽妹黛薇儿之暑假要结束了没 Daria: The Movie - Is It Fall Yet?,2000,Karen Disher / Guy Moore,动画,USA,english,9.4,3578
拽妹黛薇儿要上大学了没 Daria: Is it College Yet?,2002,Karen Disher,剧情 / 喜剧 / 动画,美国,english,9.4,3927
"神秘博士特别篇：时间尽头(下) ""Doctor Who"" The End of Time: Part Two",2010,尤洛斯·林,剧情 / 科幻,英国,英语,9.4,9443
儿童不宜 栋笃笑之儿童不宜,2006,黄子华,脱口秀,中国香港,粤语,9.4,2720
娱乐圈血肉史2 娛樂圈血肉史II,2011,黄子华,脱口秀,中国香港,粤语,9.4,2666
古道清凉,2016,辽宁海城大悲寺僧团,,中国大陆,汉语普通话 Mandarin,9.4,2704
疑犯追踪 试播集 Person of Interest: Pilot,2011,大卫·塞梅尔,剧情 / 悬疑 / 犯罪,美国,英语,9.4,5317
丹尼尔·斯洛斯：X Daniel Sloss: X,2019,丹尼尔·斯洛斯,喜剧 / 脱口秀,美国,英语,9.4,4661
黄子华栋笃笑之金盆啷口,2018,黄子华,喜剧 / 脱口秀,中国香港,粤语,9.4,4531
洗燥 黃子華棟篤笑之洗燥,2012,黄子华,脱口秀,中国香港,粤语,9.4,2773
太阳伞,2005,哈斯朝鲁,剧情,中国大陆,普通话,9.4,2685
西蒙娜·德·波伏娃：为什么我是女性主义者 Simone de Beauvoir: pourquoi je suis féministe,1975,Arlette François,,法国,法语,9.4,2538
哗众取宠 黄子华栋笃笑之2009哗众取宠,2009,黄子华,脱口秀,中国香港,粤语,9.4,2476
北国之恋：1995秘密 北の国から '95秘密,1995,杉田成道,剧情,日本,日语,9.4,1430
冇炭用 黄子华栋笃笑之冇炭用,2003,黄子华,脱口秀,中国香港,粤语,9.4,1949
威胁等级午夜：电影 Threat Level Midnight: The Movie,2011,塔克·盖茨,喜剧,美国 / 英国,英语,9.4,568
我和我的女孩 Me and My Girl,1995,小原弘稔 / 三木章雄,喜剧 / 爱情 / 音乐 / 歌舞,日本,日语,9.4,2010
北国之恋：1984夏天 北の国から'84夏,1984,杉田成道,剧情,日本,日语,9.4,1441
帝女花,1959,龙图 / 左几,戏曲,中国香港,粤语,9.4,1275
宇多田光Laugher in the Dark 2018 巡回演唱会 Hikaru Utada: Laughter in the Dark Tour 2018,2019,,音乐,日本,日语,9.4,1271
威尔和格蕾丝 告别秀 Will & Grace: Say Goodnight Gracie,2006,Jason Raff,剧情 / 喜剧 / 爱情 / 同性 / 家庭 / 真人秀,美国,英语,9.4,2101
无事生非 (2011年伦敦Wyndham剧院版) Much Ado About Nothing,2011,Josie Rourke,喜剧 / 爱情,英国,英语,9.4,2091
周杰伦2007世界巡回演唱会,2007,,音乐,中国台湾,汉语普通话,9.4,1709
星野源巡回演唱会：流行病毒 GEN HOSHINO STADIUM TOUR “POP VIRUS”,2019,Naoto Amazutsumi,音乐,日本,日语,9.4,685
天使在美国第二部：重建 National Theatre Live: Angels in America Part Two - Perestroika,2017,玛丽安娜·埃利奥特,剧情 / 同性,英国,英语,9.4,2425
伊丽莎白（2002埃森版） Elisabeth Das Muscial,2001,Eddy Habbema,剧情 / 音乐 / 歌舞,德国 / 奥地利,德语,9.4,305
天鹅湖 Swan Lake,1998,Matthew Bourne,,英国,英语,9.4,3306
第十二夜 Shakespeare's Globe: Twelfth Night,2013,Tim Carroll,剧情 / 喜剧,英国,英语,9.4,2686
2004年第28届雅典奥运会开幕式 Athens 2004 Olympic Games Opening Ceremony,2004,帕帕约安努,运动,希腊,法语 / 希腊语 / 英语,9.4,1860
天下一家 We Are the World,1985,Tom Trbovich,音乐,美国,英语,9.4,1445
德国战车：柏林现场 Rammstein: Live aus Berlin,1999,Hamish Hamilton,音乐,德国,德语,9.4,949
夜愿：时代终结 Nightwish: End of an Era,2006,Antti Jokinen,音乐,芬兰,Sioux / 芬兰语,9.4,880
费加罗的婚礼 Le nozze di Figaro,2006,Jonathan Haswell,音乐,英国,意大利语,9.4,893
A Classic Tour 学友.经典世界巡回演唱会,2016,,音乐,中国香港,粤语 / 汉语普通话,9.4,728
天鹅湖 Tchaikovsky - Swan Lake,2008,彼得·伊里奇·柴可夫斯基 / 鲁道夫·努里耶夫,歌舞,法国,法语 / 英语 / 意大利语 / 西班牙语,9.4,464
绅士联盟巡演 The League of gentlemen Live Again!,2019,Chris Sussman,喜剧,英国,英语,9.5,376
鱼丁糸Follow Me线上演唱会,2020,,音乐,中国台湾,汉语普通话,9.4,1029
岚ARAFES2020at国立竞技场 ARASHI ARAFES 2020 at National stadium,2020,阿拉希,音乐 / 歌舞,日本,日语,9.4,804
绅士联盟：德鲁里街剧院现场 The League Of Gentlemen Live At Drury Lane,2001,,,英国,英语,9.4,698
AFI终身成就奖：向阿尔帕西诺致敬 AFI Life Achievement Award: A Tribute to Al Pacino,2007,Louis J. Horvitz,,美国,英语,9.4,703
This is 嵐 LIVE,2020,嵐 ARASHI,音乐 / 歌舞,日本,日语,9.4,731
约翰梅尔：聚焦洛杉矶现场 Where The Light Is: John Mayer Live In Los Angeles,2008,Danny Clinch,音乐,美国,英语,9.4,692
巅峰拍档：玻利维亚特辑 Top Gear Bolivia Special,2009,,喜剧 / 脱口秀,英国,英语,9.4,599
菲比寻常live,2004,,,中国香港,粤语,9.4,446
触不可及 Intouchables,2011,奥利维埃·纳卡什 / 埃里克·托莱达诺,剧情 / 喜剧,法国,法语,9.3,1207755
机器人总动员 WALL·E,2008,安德鲁·斯坦顿,科幻 / 动画 / 冒险,美国,英语,9.3,1399444
放牛班的春天 Les choristes,2004,克里斯托夫·巴哈蒂,剧情 / 音乐,法国 / 瑞士 / 德国,法语,9.3,1394245
无间道 無間道,2002,刘伟强 / 麦兆辉,剧情 / 惊悚 / 犯罪,中国香港,粤语,9.3,1466297
海蒂和爷爷 Heidi,2015,阿兰·葛斯彭纳,剧情 / 家庭 / 冒险,德国 / 瑞士,南非语 / 德语 / 瑞士德语,9.3,698993
末代皇帝 The Last Emperor,1987,贝纳尔多·贝托鲁奇,剧情 / 传记 / 历史,英国 / 意大利 / 中国大陆 / 法国,英语 / 汉语普通话 / 日语,9.3,959226
教父 The Godfather,1972,弗朗西斯·福特·科波拉,剧情 / 犯罪,美国,英语 / 意大利语 / 拉丁语,9.3,1036975
素媛 소원,2013,李濬益,剧情,韩国,韩语,9.3,733648
熔炉 도가니,2011,黄东赫,剧情,韩国,韩语,9.3,986267
活着,1994,张艺谋,剧情 / 家庭 / 历史,中国大陆 / 中国香港,汉语普通话,9.3,911105
指环王3：王者无敌 The Lord of the Rings: The Return of the King,2003,彼得·杰克逊,剧情 / 动作 / 奇幻 / 冒险,美国 / 新西兰,英语 / 昆雅语 / 古英语 / 辛达林语,9.3,857541
钢琴家 The Pianist,2002,罗曼·波兰斯基,剧情 / 音乐 / 传记 / 战争,英国 / 法国 / 波兰 / 德国 / 美国,英语 / 德语 / 俄语,9.3,697492
乱世佳人 Gone with the Wind,1939,维克多·弗莱明 / 乔治·库克 / 山姆·伍德,剧情 / 爱情 / 历史 / 战争,美国,英语,9.3,739285
教父2 The Godfather: Part II,1974,弗朗西斯·福特·科波拉,剧情 / 犯罪,美国,英语 / 意大利语 / 西班牙语 / 拉丁语 / 西西里语,9.3,596086
鬼子来了,2000,姜文,剧情 / 喜剧,中国大陆,汉语普通话 / 日语 / 唐山话,9.3,670978
摩登时代 Modern Times,1936,查理·卓别林,剧情 / 喜剧 / 爱情,美国,英语,9.3,324940
芙蓉镇,1987,谢晋,剧情 / 爱情,中国大陆,汉语普通话,9.3,164728
七武士 七人の侍,1954,黑泽明,剧情 / 动作 / 冒险,日本,日语,9.3,215353
城市之光 City Lights,1931,查理·卓别林,剧情 / 喜剧 / 爱情,美国,英语,9.3,159947
南海十三郎,1997,高志森,剧情 / 爱情 / 传记,中国香港,粤语,9.3,90597
莲花楼就在江湖之上演唱会,2023,,音乐 / 歌舞 / 真人秀,中国大陆,汉语普通话,9.3,30026
蜡笔小新：呼风唤雨！猛烈！大人帝国的反击 クレヨンしんちゃん 嵐を呼ぶ モーレツ!オトナ帝国の逆襲,2001,原惠一,喜剧 / 动画,日本,日语,9.3,54649
"黄金三镖客 Il buono, il brutto, il cattivo",1966,赛尔乔·莱昂内,西部 / 冒险,意大利 / 西班牙 / 西德,意大利语 / 英语,9.3,131906
灿烂人生 La meglio gioventù,2003,马可·图利奥·吉奥达纳,剧情 / 爱情 / 家庭,意大利,意大利语,9.3,78127
生活多美好 It's a Wonderful Life,1946,弗兰克·卡普拉,剧情 / 爱情 / 奇幻,美国,英语 / 法语,9.3,107546
福音战士新剧场版：破 ヱヴァンゲリヲン新劇場版：破,2009,庵野秀明 / 摩砂雪 / 鹤卷和哉,剧情 / 科幻 / 动画,日本,日语,9.3,90630
遥望南方的童年,2007,易寒,剧情,中国大陆,汉语普通话,9.3,43565
生之欲 生きる,1952,黑泽明,剧情,日本,日语,9.3,47980
摇滚莫扎特 Mozart L'Opéra Rock,2010,奥利维埃·达昂,歌舞,法国,法语,9.3,31172
元气少女缘结神 新婚篇 神様はじめました 神様、幸せになる,2016,大地丙太郎 / 赤城博昭,爱情 / 动画,日本,日语,9.3,20510
狐妖小红娘剧场版：月红篇,2016,王昕 / 董易,爱情 / 动画 / 奇幻,中国大陆,汉语普通话,9.3,17836
剧场版魔法少女小圆 新篇 叛逆的故事 劇場版 魔法少女まどか☆マギカ [新編] 叛逆の物語,2013,宫本幸裕 / 新房昭之,动画,日本,日语,9.3,24069
哀乐中年 哀樂中年,1949,桑弧,剧情 / 爱情 / 家庭,中国大陆,汉语普通话,9.3,21774
万物生灵：2022圣诞特别集 All Creatures Great and Small: 2022 Christmas Special,2022,斯图尔特·斯瓦桑,剧情 / 喜剧,英国,英语,9.3,8101
轻音少女 剧场版 映画 けいおん!,2011,山田尚子,剧情 / 动画 / 音乐,日本,日语,9.3,22351
排球少年：VS“不及格” ハイキュー!! VS“赤点”,2016,满仲劝,动画 / 运动,日本,日语,9.3,7440
吉屋出租：百老汇剧场版 Rent: Filmed Live on Broadway,2008,Michael John Warren,歌舞,美国,英语,9.3,12922
银魂剧场版：完结篇 直到永远的万事屋 劇場版 銀魂 完結篇 万事屋よ永遠なれ,2013,藤田阳一,剧情 / 动画,日本,日语,9.3,36945
唐顿庄园：2011圣诞特别篇 Downton Abbey: Christmas at Downton Abbey,2011,布莱恩·派西维尔,剧情,英国,英语,9.3,49455
罗密欧与朱丽叶 Roméo & Juliette: De la haine à l'amour,2002,Redha / Gilles Amado,剧情 / 爱情 / 歌舞,法国,法语,9.3,10571
排球少年剧场版：观念之战 劇場版 ハイキュー!! コンセプトの戦い,2017,满仲劝,剧情 / 动画 / 运动,日本,日语,9.3,4118
吹响悠风号剧场版：想要传达的旋律 劇場版 響け！ユーフォニアム～届けたいメロディ～,2017,石原立也 / 小川太一,剧情 / 动画,日本,日语,9.3,5027
小王子 Le Petit Prince,2002,Laurent Bergers,音乐 / 歌舞,法国,法语,9.3,3973
轻音少女番外篇：冬日 けいおん! 番外編 冬の日!,2009,山田尚子,动画,日本,日语,9.3,4478
极品基老伴：2013圣诞特辑 Vicious Christmas Special 2013,2013,爱德·拜伊,喜剧 / 同性,英国,英语,9.3,17265
轻音少女番外篇：访问 けいおん!! 番外編 訪問！,2010,山田尚子,喜剧 / 动画 / 音乐,日本,日语,9.3,4592
丹尼尔·斯洛斯：现场表演 Daniel Sloss: Live Shows,2018,,喜剧,美国,英语,9.3,6755
乔治·卡林：这对你不好 George Carlin... It's Bad for Ya!,2008,罗科·厄比斯基,喜剧 / 脱口秀,美国,英语,9.3,5615
轻音少女番外篇：企划会议 けいおん!! 番外編 企画会議！,2010,山田尚子,喜剧 / 动画 / 音乐,日本,日语,9.3,4777
轻音少女番外篇：计划 けいおん!! 番外編 計画！,2011,山田尚子,喜剧 / 动画 / 音乐,日本,日语,9.3,3977
黃子華栋笃笑之色情家庭,1991,黄子华,,中国香港,粤语,9.3,1758
娱乐圈血肉史 娛樂圈血肉史,1990,黄子华,真人秀,中国香港,粤语,9.3,2825
失而复得 Billkin & PP Krit : Lost and Found First Worldwide Digital Performance,2022,Rinrada Pornsombutsatien / Tawanwad Wanvait,音乐 / 真人秀,泰国,泰语,9.3,360
攻壳机动队SAC 2nd GIG：个别的十一人 攻殻機動隊 S.A.C. 2nd GIG Individual Eleven,2006,神山健治,动画,日本,日语,9.3,5746
