title,year,director,genres,country,language,rating,votes
古道清凉,2016,辽宁海城大悲寺僧团,,中国大陆,汉语普通话 Mandarin,9.4,2704
疑犯追踪 试播集 Person of Interest: Pilot,2011,大卫·塞梅尔,剧情 / 悬疑 / 犯罪,美国,英语,9.4,5317
黄子华栋笃笑之金盆啷口,2018,黄子华,喜剧 / 脱口秀,中国香港,粤语,9.4,4531
西蒙娜·德·波伏娃：为什么我是女性主义者 Simone de Beauvoir: pourquoi je suis féministe,1975,Arlette François,,法国,法语,9.4,2538
北国之恋：1995秘密 北の国から '95秘密,1995,杉田成道,剧情,日本,日语,9.4,1430
冇炭用 黄子华栋笃笑之冇炭用,2003,黄子华,脱口秀,中国香港,粤语,9.4,1949
威胁等级午夜：电影 Threat Level Midnight: The Movie,2011,塔克·盖茨,喜剧,美国 / 英国,英语,9.4,568
我和我的女孩 Me and My Girl,1995,小原弘稔 / 三木章雄,喜剧 / 爱情 / 音乐 / 歌舞,日本,日语,9.4,2010
帝女花,1959,龙图 / 左几,戏曲,中国香港,粤语,9.4,1275
宇多田光Laugher in the Dark 2018 巡回演唱会 Hikaru Utada: Laughter in the Dark Tour 2018,2019,,音乐,日本,日语,9.4,1271
星野源巡回演唱会：流行病毒 GEN HOSHINO STADIUM TOUR “POP VIRUS”,2019,Naoto Amazutsumi,音乐,日本,日语,9.4,685
2004年第28届雅典奥运会开幕式 Athens 2004 Olympic Games Opening Ceremony,2004,帕帕约安努,运动,希腊,法语 / 希腊语 / 英语,9.4,1860
德国战车：柏林现场 Rammstein: Live aus Berlin,1999,Hamish Hamilton,音乐,德国,德语,9.4,949
夜愿：时代终结 Nightwish: End of an Era,2006,Antti Jokinen,音乐,芬兰,Sioux / 芬兰语,9.4,880
费加罗的婚礼 Le nozze di Figaro,2006,Jonathan Haswell,音乐,英国,意大利语,9.4,893
天鹅湖 Tchaikovsky - Swan Lake,2008,彼得·伊里奇·柴可夫斯基 / 鲁道夫·努里耶夫,歌舞,法国,法语 / 英语 / 意大利语 / 西班牙语,9.4,464
绅士联盟巡演 The League of gentlemen Live Again!,2019,Chris Sussman,喜剧,英国,英语,9.5,376
鱼丁糸Follow Me线上演唱会,2020,,音乐,中国台湾,汉语普通话,9.4,1029
绅士联盟：德鲁里街剧院现场 The League Of Gentlemen Live At Drury Lane,2001,,,英国,英语,9.4,698
AFI终身成就奖：向阿尔帕西诺致敬 AFI Life Achievement Award: A Tribute to Al Pacino,2007,Louis J. Horvitz,,美国,英语,9.4,703
This is 嵐 LIVE,2020,嵐 ARASHI,音乐 / 歌舞,日本,日语,9.4,731
约翰梅尔：聚焦洛杉矶现场 Where The Light Is: John Mayer Live In Los Angeles,2008,Danny Clinch,音乐,美国,英语,9.4,692
巅峰拍档：玻利维亚特辑 Top Gear Bolivia Special,2009,,喜剧 / 脱口秀,英国,英语,9.4,599
海上钢琴师 La leggenda del pianista sull'oceano,1998,朱塞佩·托纳多雷,剧情 / 音乐,意大利,英语 / 法语 / 意大利语,9.3,1773039
机器人总动员 WALL·E,2008,安德鲁·斯坦顿,科幻 / 动画 / 冒险,美国,英语,9.3,1399442
放牛班的春天 Les choristes,2004,克里斯托夫·巴哈蒂,剧情 / 音乐,法国 / 瑞士 / 德国,法语,9.3,1394245
海蒂和爷爷 Heidi,2015,阿兰·葛斯彭纳,剧情 / 家庭 / 冒险,德国 / 瑞士,南非语 / 德语 / 瑞士德语,9.3,698990
末代皇帝 The Last Emperor,1987,贝纳尔多·贝托鲁奇,剧情 / 传记 / 历史,英国 / 意大利 / 中国大陆 / 法国,英语 / 汉语普通话 / 日语,9.3,959225
教父 The Godfather,1972,弗朗西斯·福特·科波拉,剧情 / 犯罪,美国,英语 / 意大利语 / 拉丁语,9.3,1036974
素媛 소원,2013,李濬益,剧情,韩国,韩语,9.3,733648
熔炉 도가니,2011,黄东赫,剧情,韩国,韩语,9.3,986266
活着,1994,张艺谋,剧情 / 家庭 / 历史,中国大陆 / 中国香港,汉语普通话,9.3,911104
指环王3：王者无敌 The Lord of the Rings: The Return of the King,2003,彼得·杰克逊,剧情 / 动作 / 奇幻 / 冒险,美国 / 新西兰,英语 / 昆雅语 / 古英语 / 辛达林语,9.3,857541
钢琴家 The Pianist,2002,罗曼·波兰斯基,剧情 / 音乐 / 传记 / 战争,英国 / 法国 / 波兰 / 德国 / 美国,英语 / 德语 / 俄语,9.3,697491
教父2 The Godfather: Part II,1974,弗朗西斯·福特·科波拉,剧情 / 犯罪,美国,英语 / 意大利语 / 西班牙语 / 拉丁语 / 西西里语,9.3,596086
摩登时代 Modern Times,1936,查理·卓别林,剧情 / 喜剧 / 爱情,美国,英语,9.3,324940
南海十三郎,1997,高志森,剧情 / 爱情 / 传记,中国香港,粤语,9.3,90597
蜡笔小新：呼风唤雨！猛烈！大人帝国的反击 クレヨンしんちゃん 嵐を呼ぶ モーレツ!オトナ帝国の逆襲,2001,原惠一,喜剧 / 动画,日本,日语,9.3,54648
"黄金三镖客 Il buono, il brutto, il cattivo",1966,赛尔乔·莱昂内,西部 / 冒险,意大利 / 西班牙 / 西德,意大利语 / 英语,9.3,131906
